ID	rTPJ
1	0.7537
2	0.7245
3	1.328
6	0.9516
8	1.097
9	0.7022
10	0.9352
12	0.6457
13	1.774
14	0.8432
16	0.7824
17	0.7503
18	0.5759
19	1.18
20	
21	1.044
22	1.835
23	0.6951
24	0.9209
25	0.389
26	0.7778
29	1.759
30	0.4964
31	0.5135
32	0.9574
33	0.4834
34	0.5123
35	0.9481
36	0.9235
37	
38	0.7316
40	0.969
41	0.6244
42	0.7212
43	0.6269
44	0.5673
45	0.8919
46	1.119
47	0.3449
48	1.139
49	0.673
50	0.8254
